,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,PM_US Post
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,118.5,114.0,-21.0,43.0,1021.0,-11.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,99.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,103.0,118.5,114.0,-21.0,47.0,1020.0,-12.0,4.92,0.0,0.0,0.0,1.0,0.0,0.0,99.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,103.0,118.5,114.0,-21.0,43.0,1019.0,-11.0,6.71,0.0,0.0,0.0,1.0,0.0,0.0,99.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13.5,93.0,11.5,-21.0,55.0,1019.0,-14.0,9.84,0.0,0.0,0.0,1.0,0.0,0.0,13.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13.5,93.0,11.5,-20.0,51.0,1018.0,-12.0,12.97,0.0,0.0,0.0,1.0,0.0,0.0,13.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,103.0,118.5,114.0,-19.0,47.0,1017.0,-10.0,16.1,0.0,0.0,0.0,1.0,0.0,0.0,99.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,103.0,118.5,114.0,-19.0,44.0,1017.0,-9.0,19.23,0.0,0.0,0.0,1.0,0.0,0.0,99.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,13.5,93.0,11.5,-19.0,44.0,1017.0,-9.0,21.02,0.0,0.0,0.0,1.0,0.0,0.0,13.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13.5,93.0,11.5,-19.0,44.0,1017.0,-9.0,24.15,0.0,0.0,0.0,1.0,0.0,0.0,13.0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13.5,93.0,11.5,-20.0,37.0,1017.0,-8.0,27.28,0.0,0.0,0.0,1.0,0.0,0.0,13.0
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,103.0,118.5,114.0,-19.0,37.0,1017.0,-7.0,31.3,0.0,0.0,0.0,1.0,0.0,0.0,99.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,103.0,118.5,114.0,-18.0,35.0,1017.0,-5.0,34.43,0.0,0.0,0.0,1.0,0.0,0.0,99.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,103.0,118.5,114.0,-19.0,32.0,1015.0,-5.0,37.56,0.0,0.0,0.0,1.0,0.0,0.0,99.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,103.0,118.5,114.0,-18.0,30.0,1015.0,-3.0,40.69,0.0,0.0,0.0,1.0,0.0,0.0,99.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,103.0,118.5,114.0,-18.0,28.0,1014.0,-2.0,43.82,0.0,0.0,0.0,1.0,0.0,0.0,99.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,103.0,118.5,114.0,-18.0,26.0,1014.0,-1.0,0.89,0.0,0.0,0.0,0.0,0.0,1.0,99.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,103.0,118.5,114.0,-19.0,25.0,1015.0,-2.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,99.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,103.0,118.5,114.0,-18.0,30.0,1015.0,-3.0,2.68,0.0,0.0,0.0,1.0,0.0,0.0,99.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,103.0,118.5,114.0,-18.0,35.0,1016.0,-5.0,1.79,0.0,0.0,1.0,0.0,0.0,0.0,99.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,103.0,118.5,114.0,-17.0,35.0,1017.0,-4.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,99.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,103.0,118.5,114.0,-17.0,38.0,1017.0,-5.0,0.89,0.0,0.0,0.0,0.0,0.0,1.0,99.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,103.0,118.5,114.0,-17.0,38.0,1018.0,-5.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,99.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,103.0,118.5,114.0,-17.0,38.0,1018.0,-5.0,2.68,0.0,0.0,0.0,1.0,0.0,0.0,99.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,99.5,137.0,111.5,-17.0,41.0,1020.0,-5.0,0.89,0.0,0.0,0.0,0.0,0.0,1.0,129.0
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,148.0,113.0,137.5,-16.0,38.0,1020.0,-4.0,1.79,0.0,0.0,0.0,0.0,1.0,0.0,148.0
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,155.5,155.5,133.5,-15.0,42.0,1020.0,-4.0,2.68,0.0,0.0,0.0,0.0,1.0,0.0,159.0
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,176.5,174.5,179.5,-11.0,63.5,1021.0,-5.0,3.57,0.0,0.0,0.0,0.0,1.0,0.0,181.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,123.5,393.5,115.5,-7.0,85.0,1022.0,-5.0,5.36,0.0,0.0,0.0,0.0,1.0,0.0,138.0
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,128.5,188.0,173.0,-7.0,85.0,1022.0,-5.0,6.25,0.0,0.0,0.0,0.0,1.0,0.0,109.0
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,433.0,604.5,483.5,-7.0,92.0,1022.0,-6.0,7.14,0.0,0.0,0.0,0.0,1.0,0.0,105.0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,133.0,369.5,133.5,-7.0,92.0,1023.0,-6.0,8.93,0.0,0.0,0.0,0.0,1.0,0.0,124.0
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,84.0,137.0,113.0,-7.0,85.0,1024.0,-5.0,10.72,0.0,0.0,0.0,0.0,1.0,0.0,120.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,112.5,252.0,102.5,-8.0,85.0,1024.0,-6.0,12.51,0.0,0.0,0.0,0.0,1.0,0.0,132.0
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,125.5,286.0,107.5,-7.0,85.0,1025.0,-5.0,14.3,0.0,0.0,0.0,0.0,1.0,0.0,140.0
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,145.5,137.0,137.5,-7.0,85.0,1026.0,-5.0,17.43,0.0,0.0,0.0,0.0,1.0,0.0,152.0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,123.5,128.5,122.5,-8.0,79.0,1026.0,-5.0,20.56,0.0,0.0,0.0,0.0,1.0,0.0,148.0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,134.0,126.0,127.0,-8.0,79.0,1026.0,-5.0,23.69,0.0,0.0,0.0,0.0,1.0,0.0,164.0
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,151.5,129.5,137.0,-8.0,79.0,1025.0,-5.0,27.71,0.0,0.0,0.0,0.0,1.0,0.0,158.0
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,147.5,135.0,135.5,-9.0,73.0,1025.0,-5.0,31.73,0.0,0.0,0.0,0.0,1.0,0.0,154.0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,151.5,137.5,137.0,-9.0,73.0,1025.0,-5.0,35.75,0.0,0.0,0.0,0.0,1.0,0.0,159.0
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,151.0,136.5,134.0,-9.0,73.0,1026.0,-5.0,37.54,0.0,0.0,0.0,0.0,1.0,0.0,164.0
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,143.0,135.5,127.5,-8.0,79.0,1027.0,-5.0,39.33,0.0,0.0,0.0,0.0,1.0,0.0,170.0
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,147.5,125.0,135.5,-8.0,79.0,1027.0,-5.0,42.46,0.0,0.0,0.0,0.0,1.0,0.0,149.0
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,151.5,132.5,137.0,-8.0,79.0,1028.0,-5.0,44.25,0.0,0.0,0.0,0.0,1.0,0.0,154.0
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,148.0,133.0,150.5,-7.0,85.0,1028.0,-5.0,46.04,0.0,0.0,0.0,0.0,1.0,0.0,164.0
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,148.0,132.5,150.5,-7.0,85.0,1027.0,-5.0,49.17,0.0,0.0,0.0,0.0,1.0,0.0,156.0
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,119.0,134.5,117.0,-8.0,85.0,1028.0,-6.0,52.3,0.0,0.0,0.0,0.0,1.0,0.0,126.0
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,87.0,79.5,85.0,-8.0,85.0,1027.0,-6.0,55.43,0.0,0.0,0.0,0.0,1.0,0.0,90.0
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,71.0,69.0,69.0,-7.0,92.0,1027.0,-6.0,58.56,0.4,0.4,0.0,0.0,1.0,0.0,63.0
