,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PM_Caotangsi,PM_Shahepu,DEWP,HUMI,PRES,TEMP,Iws,precipitation,Iprec,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_SW,cbwd_cv,PM_US Post
0,0,0,0,0,149.5,176.0,4.0,81.2,1022.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167.0
1,1,1,1,1,172.5,177.5,4.0,86.99,1022.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,155.5
2,2,2,2,2,141.5,154.5,4.0,86.99,1021.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0
3,3,3,3,3,228.5,193.5,3.0,86.89,1021.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,157.5
4,4,4,4,4,157.5,142.0,2.0,86.79,1021.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,195.5
5,5,5,5,5,174.5,94.0,2.0,93.13,1020.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167.5
6,6,6,6,6,174.5,94.0,2.0,93.13,1020.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167.5
7,7,7,7,7,148.0,203.5,2.0,86.79,1020.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0
8,8,8,8,8,174.5,94.0,2.0,93.13,1021.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167.5
9,9,9,9,9,193.5,225.5,3.0,93.19,1021.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256.5
10,10,10,10,10,156.5,156.5,4.0,86.99,1021.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,130.0
11,11,11,11,11,55.5,65.5,5.0,81.34,1021.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.5
12,12,12,12,12,128.5,125.0,4.0,70.88,1020.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,107.5
13,13,13,13,13,113.5,106.0,2.0,57.51,1019.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0
14,14,14,14,14,148.0,203.5,3.0,57.77,1016.9,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,108.0
15,15,15,15,15,93.5,85.5,2.0,53.81,1016.9,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.5
16,16,16,16,16,148.0,203.5,1.0,50.08,1016.9,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.5
17,17,17,17,17,148.0,203.5,1.0,50.08,1016.9,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.5
18,18,18,18,18,93.0,100.0,2.0,61.51,1018.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68.5
19,19,19,19,19,148.0,203.5,3.0,66.05,1019.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,108.0
20,20,20,20,20,148.0,203.5,3.0,66.05,1020.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0
21,21,21,21,21,231.0,215.0,2.0,61.51,1021.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,243.5
22,22,22,22,22,228.0,216.5,2.0,61.51,1021.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251.5
23,23,23,23,23,148.0,203.5,4.0,84.095,1022.0,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
24,24,24,24,24,148.0,203.5,4.0,84.095,1022.0,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
25,25,25,25,25,156.5,145.0,3.0,70.67,1021.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,98.5
26,26,26,26,26,129.0,91.0,3.0,75.67,1021.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117.5
27,27,27,27,27,129.5,104.5,4.0,81.2,1021.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.5
28,28,28,28,28,156.5,156.5,4.0,81.2,1021.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,136.0
29,29,29,29,29,110.5,111.5,4.0,81.2,1021.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,114.5
30,30,30,30,30,97.0,92.0,4.0,81.2,1020.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82.5
31,31,31,31,31,148.0,203.5,4.0,81.2,1021.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,108.0
32,32,32,32,32,156.5,156.5,4.0,81.2,1021.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,136.0
33,33,33,33,33,207.5,121.5,4.0,75.84,1022.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,190.5
34,34,34,34,34,173.5,127.0,4.0,75.84,1022.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,183.5
35,35,35,35,35,150.5,162.0,5.0,81.34,1023.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,190.5
36,36,36,36,36,124.5,137.5,4.0,70.88,1022.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0
37,37,37,37,37,148.0,203.5,4.0,70.88,1021.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0
38,38,38,38,38,141.0,127.5,4.0,70.88,1020.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.5
39,39,39,39,39,148.0,203.5,4.0,70.88,1019.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0
40,40,40,40,40,148.0,203.5,4.0,70.88,1020.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,108.0
41,41,41,41,41,111.0,76.0,5.0,81.34,1020.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0
42,42,42,42,42,148.0,203.5,4.0,75.84,1022.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,108.0
43,43,43,43,43,128.5,97.5,5.0,81.34,1023.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,135.5
44,44,44,44,44,159.5,139.5,5.0,87.09,1024.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0
45,45,45,45,45,148.0,203.5,4.0,86.99,1024.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,208.5
46,46,46,46,46,93.5,129.5,3.0,86.89,1024.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.5
47,47,47,47,47,148.0,203.5,2.0,93.13,1024.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,108.0
48,48,48,48,48,150.0,132.0,3.0,86.89,1023.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0
49,49,49,49,49,188.5,161.0,2.0,86.79,1022.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,185.0
50,50,50,50,50,150.0,157.0,3.0,86.89,1021.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142.0
51,51,51,51,51,193.5,225.5,3.0,93.19,1021.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256.5
52,52,52,52,52,282.0,207.5,4.0,93.24,1020.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.0
53,53,53,53,53,280.0,257.0,4.0,86.99,1019.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.5
54,54,54,54,54,156.5,193.5,4.0,86.99,1018.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,174.0
