,size,#columns,overall missing value ratio,overall average null columns ratio,average null columns ratio among all windows,max average #null columns ratio among all windows,average missing value ratio among all windows,max missing value ration among all windows,IForest_ave_anomaly_ratio,IForest_max_anomaly_ratio,ECOD_ave_anomaly_ratio,ECOD_max_anomaly_ratio,mean_ave_anomaly_ratio,max_ave_anomaly_ratio,ECOD_overall_anomaly_ratio,IForest_overall_anomaly_ratio,ave_overall_anomaly_ratio,hdddm_drift_percentage,kdq_drift_percentage,ave_drift_percentage,hdddm_ave_drift_percentage,hdddm_max_drift_percentage,kdq_ave_drift_percentage,kdq_max_drift_percentage,cbdb_ave_drift_percentage,cbdb_max_drift_percentage,pca_ave_drift_percentage,pca_max_drift_percentage
dataset_experiment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/allstate_claims_severity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/bike_sharing_demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/rssi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/noaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/electricity_prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/tetouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/wanliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/wanshouxingong,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/gucheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/huairou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/nongzhanguan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/changping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
