,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,DEWP,TEMP,PRES,Iws,Is,Ir,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,pm2.5
0,0,0,0,0,-21.0,-11.0,1021.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,189.5
1,1,1,1,1,-21.0,-12.0,1020.0,4.92,0.0,0.0,0.0,1.0,0.0,0.0,145.5
2,2,2,2,2,-21.0,-11.0,1019.0,6.71,0.0,0.0,0.0,1.0,0.0,0.0,133.0
3,3,3,3,3,-21.0,-14.0,1019.0,9.84,0.0,0.0,0.0,1.0,0.0,0.0,68.0
4,4,4,4,4,-20.0,-12.0,1018.0,12.97,0.0,0.0,0.0,1.0,0.0,0.0,97.5
5,5,5,5,5,-19.0,-10.0,1017.0,16.1,0.0,0.0,0.0,1.0,0.0,0.0,52.5
6,6,6,6,6,-19.0,-9.0,1017.0,19.23,0.0,0.0,0.0,1.0,0.0,0.0,40.0
7,7,7,7,7,-19.0,-9.0,1017.0,21.02,0.0,0.0,0.0,1.0,0.0,0.0,26.0
8,8,8,8,8,-19.0,-9.0,1017.0,24.15,0.0,0.0,0.0,1.0,0.0,0.0,60.0
9,9,9,9,9,-20.0,-8.0,1017.0,27.28,0.0,0.0,0.0,1.0,0.0,0.0,26.0
10,10,10,10,10,-19.0,-7.0,1017.0,31.3,0.0,0.0,0.0,1.0,0.0,0.0,28.5
11,11,11,11,11,-18.0,-5.0,1017.0,34.43,0.0,0.0,0.0,1.0,0.0,0.0,31.0
12,12,12,12,12,-19.0,-5.0,1015.0,37.56,0.0,0.0,0.0,1.0,0.0,0.0,30.5
13,13,13,13,13,-18.0,-3.0,1015.0,40.69,0.0,0.0,0.0,1.0,0.0,0.0,21.0
14,14,14,14,14,-18.0,-2.0,1014.0,43.82,0.0,0.0,0.0,1.0,0.0,0.0,21.0
15,15,15,15,15,-18.0,-1.0,1014.0,0.89,0.0,0.0,0.0,0.0,0.0,1.0,95.5
16,16,16,16,16,-19.0,-2.0,1015.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,86.5
17,17,17,17,17,-18.0,-3.0,1015.0,2.68,0.0,0.0,0.0,1.0,0.0,0.0,75.0
18,18,18,18,18,-18.0,-5.0,1016.0,1.79,0.0,0.0,1.0,0.0,0.0,0.0,50.0
19,19,19,19,19,-17.0,-4.0,1017.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,66.5
20,20,20,20,20,-17.0,-5.0,1017.0,0.89,0.0,0.0,0.0,0.0,0.0,1.0,43.5
21,21,21,21,21,-17.0,-5.0,1018.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,151.5
22,22,22,22,22,-17.0,-5.0,1018.0,2.68,0.0,0.0,0.0,1.0,0.0,0.0,36.5
23,23,23,23,23,-17.0,-5.0,1020.0,0.89,0.0,0.0,0.0,0.0,0.0,1.0,71.0
24,24,24,24,24,-16.0,-4.0,1020.0,1.79,0.0,0.0,0.0,0.0,1.0,0.0,129.0
25,25,25,25,25,-15.0,-4.0,1020.0,2.68,0.0,0.0,0.0,0.0,1.0,0.0,148.0
26,26,26,26,26,-11.0,-5.0,1021.0,3.57,0.0,0.0,0.0,0.0,1.0,0.0,159.0
27,27,27,27,27,-7.0,-5.0,1022.0,5.36,1.0,0.0,0.0,0.0,1.0,0.0,181.0
28,28,28,28,28,-7.0,-5.0,1022.0,6.25,2.0,0.0,0.0,0.0,1.0,0.0,138.0
29,29,29,29,29,-7.0,-6.0,1022.0,7.14,3.0,0.0,0.0,0.0,1.0,0.0,109.0
30,30,30,30,30,-7.0,-6.0,1023.0,8.93,4.0,0.0,0.0,0.0,1.0,0.0,105.0
31,31,31,31,31,-7.0,-5.0,1024.0,10.72,0.0,0.0,0.0,0.0,1.0,0.0,124.0
32,32,32,32,32,-8.0,-6.0,1024.0,12.51,0.0,0.0,0.0,0.0,1.0,0.0,120.0
33,33,33,33,33,-7.0,-5.0,1025.0,14.3,0.0,0.0,0.0,0.0,1.0,0.0,132.0
34,34,34,34,34,-7.0,-5.0,1026.0,17.43,1.0,0.0,0.0,0.0,1.0,0.0,140.0
35,35,35,35,35,-8.0,-5.0,1026.0,20.56,0.0,0.0,0.0,0.0,1.0,0.0,152.0
36,36,36,36,36,-8.0,-5.0,1026.0,23.69,0.0,0.0,0.0,0.0,1.0,0.0,148.0
37,37,37,37,37,-8.0,-5.0,1025.0,27.71,0.0,0.0,0.0,0.0,1.0,0.0,164.0
38,38,38,38,38,-9.0,-5.0,1025.0,31.73,0.0,0.0,0.0,0.0,1.0,0.0,158.0
39,39,39,39,39,-9.0,-5.0,1025.0,35.75,0.0,0.0,0.0,0.0,1.0,0.0,154.0
40,40,40,40,40,-9.0,-5.0,1026.0,37.54,0.0,0.0,0.0,0.0,1.0,0.0,159.0
41,41,41,41,41,-8.0,-5.0,1027.0,39.33,0.0,0.0,0.0,0.0,1.0,0.0,164.0
42,42,42,42,42,-8.0,-5.0,1027.0,42.46,0.0,0.0,0.0,0.0,1.0,0.0,170.0
43,43,43,43,43,-8.0,-5.0,1028.0,44.25,0.0,0.0,0.0,0.0,1.0,0.0,149.0
44,44,44,44,44,-7.0,-5.0,1028.0,46.04,0.0,0.0,0.0,0.0,1.0,0.0,154.0
45,45,45,45,45,-7.0,-5.0,1027.0,49.17,1.0,0.0,0.0,0.0,1.0,0.0,164.0
46,46,46,46,46,-8.0,-6.0,1028.0,52.3,2.0,0.0,0.0,0.0,1.0,0.0,156.0
47,47,47,47,47,-8.0,-6.0,1027.0,55.43,3.0,0.0,0.0,0.0,1.0,0.0,126.0
48,48,48,48,48,-7.0,-6.0,1027.0,58.56,4.0,0.0,0.0,0.0,1.0,0.0,90.0
49,49,49,49,49,-8.0,-6.0,1026.0,61.69,5.0,0.0,0.0,0.0,1.0,0.0,63.0
50,50,50,50,50,-8.0,-7.0,1026.0,65.71,6.0,0.0,0.0,0.0,1.0,0.0,65.0
51,51,51,51,51,-8.0,-7.0,1025.0,68.84,7.0,0.0,0.0,0.0,1.0,0.0,55.0
52,52,52,52,52,-8.0,-7.0,1024.0,72.86,8.0,0.0,0.0,0.0,1.0,0.0,65.0
53,53,53,53,53,-9.0,-8.0,1024.0,76.88,9.0,0.0,0.0,0.0,1.0,0.0,83.0
54,54,54,54,54,-10.0,-8.0,1024.0,80.9,10.0,0.0,0.0,0.0,1.0,0.0,91.0
55,55,55,55,55,-10.0,-9.0,1024.0,84.92,11.0,0.0,0.0,0.0,1.0,0.0,86.0
56,56,56,56,56,-10.0,-9.0,1024.0,89.84,12.0,0.0,0.0,0.0,1.0,0.0,82.0
57,57,57,57,57,-11.0,-9.0,1023.0,93.86,13.0,0.0,0.0,0.0,1.0,0.0,86.0
58,58,58,58,58,-11.0,-9.0,1023.0,97.88,15.0,0.0,0.0,0.0,1.0,0.0,78.0
59,59,59,59,59,-11.0,-9.0,1022.0,102.8,16.0,0.0,0.0,0.0,1.0,0.0,98.0
60,60,60,60,60,-11.0,-9.0,1021.0,105.93,17.0,0.0,0.0,0.0,1.0,0.0,107.0
61,61,61,61,61,-11.0,-9.0,1020.0,111.74,19.0,0.0,0.0,0.0,1.0,0.0,90.0
62,62,62,62,62,-11.0,-9.0,1020.0,116.66,20.0,0.0,0.0,0.0,1.0,0.0,96.0
63,63,63,63,63,-11.0,-9.0,1020.0,121.58,21.0,0.0,0.0,0.0,1.0,0.0,95.0
64,64,64,64,64,-11.0,-9.0,1020.0,124.71,22.0,0.0,0.0,0.0,1.0,0.0,86.0
65,65,65,65,65,-11.0,-9.0,1020.0,127.84,23.0,0.0,0.0,0.0,1.0,0.0,70.0
66,66,66,66,66,-11.0,-9.0,1021.0,0.89,24.0,0.0,0.0,0.0,0.0,1.0,61.0
67,67,67,67,67,-11.0,-9.0,1022.0,1.78,25.0,0.0,0.0,0.0,0.0,1.0,53.0
68,68,68,68,68,-10.0,-9.0,1022.0,4.02,26.0,0.0,0.0,1.0,0.0,0.0,71.0
69,69,69,69,69,-11.0,-10.0,1023.0,7.15,27.0,0.0,0.0,1.0,0.0,0.0,72.0
70,70,70,70,70,-11.0,-9.0,1023.0,11.17,0.0,0.0,0.0,1.0,0.0,0.0,76.0
71,71,71,71,71,-12.0,-11.0,1023.0,14.3,0.0,0.0,0.0,1.0,0.0,0.0,73.0
72,72,72,72,72,-14.0,-12.0,1023.0,16.09,0.0,0.0,0.0,1.0,0.0,0.0,79.0
73,73,73,73,73,-16.0,-9.0,1023.0,21.9,0.0,0.0,0.0,1.0,0.0,0.0,58.0
74,74,74,74,74,-17.0,-10.0,1024.0,29.95,0.0,0.0,0.0,1.0,0.0,0.0,25.0
75,75,75,75,75,-18.0,-11.0,1024.0,39.78,0.0,0.0,0.0,1.0,0.0,0.0,26.0
76,76,76,76,76,-19.0,-11.0,1025.0,48.72,0.0,0.0,0.0,1.0,0.0,0.0,28.0
77,77,77,77,77,-20.0,-12.0,1026.0,55.87,0.0,0.0,0.0,1.0,0.0,0.0,26.0
78,78,78,78,78,-21.0,-12.0,1027.0,64.81,0.0,0.0,0.0,1.0,0.0,0.0,20.0
79,79,79,79,79,-21.0,-13.0,1027.0,73.75,0.0,0.0,0.0,1.0,0.0,0.0,29.0
80,80,80,80,80,-22.0,-13.0,1028.0,80.9,0.0,0.0,0.0,1.0,0.0,0.0,26.0
81,81,81,81,81,-22.0,-13.0,1029.0,90.73,0.0,0.0,0.0,1.0,0.0,0.0,27.0
82,82,82,82,82,-22.0,-12.0,1030.0,100.56,0.0,0.0,0.0,1.0,0.0,0.0,27.0
83,83,83,83,83,-23.0,-12.0,1031.0,108.61,0.0,0.0,0.0,1.0,0.0,0.0,25.0
84,84,84,84,84,-21.0,-11.0,1030.0,117.55,0.0,0.0,0.0,1.0,0.0,0.0,29.0
85,85,85,85,85,-20.0,-10.0,1030.0,127.38,0.0,0.0,0.0,1.0,0.0,0.0,32.0
86,86,86,86,86,-21.0,-10.0,1030.0,136.32,0.0,0.0,0.0,1.0,0.0,0.0,28.0
87,87,87,87,87,-21.0,-9.0,1030.0,145.26,0.0,0.0,0.0,1.0,0.0,0.0,29.0
88,88,88,88,88,-21.0,-9.0,1031.0,152.41,0.0,0.0,0.0,1.0,0.0,0.0,30.0
89,89,89,89,89,-20.0,-11.0,1032.0,159.56,0.0,0.0,0.0,1.0,0.0,0.0,30.0
90,90,90,90,90,-23.0,-11.0,1032.0,165.37,0.0,0.0,0.0,1.0,0.0,0.0,28.0
91,91,91,91,91,-21.0,-12.0,1033.0,171.18,0.0,0.0,0.0,1.0,0.0,0.0,26.0
92,92,92,92,92,-24.0,-12.0,1034.0,180.12,0.0,0.0,0.0,1.0,0.0,0.0,31.0
93,93,93,93,93,-24.0,-13.0,1034.0,187.27,0.0,0.0,0.0,1.0,0.0,0.0,33.0
94,94,94,94,94,-24.0,-13.0,1035.0,195.32,0.0,0.0,0.0,1.0,0.0,0.0,29.0
95,95,95,95,95,-26.0,-15.0,1035.0,198.45,0.0,0.0,0.0,1.0,0.0,0.0,31.0
96,96,96,96,96,-26.0,-17.0,1035.0,201.58,0.0,0.0,0.0,1.0,0.0,0.0,30.0
97,97,97,97,97,-26.0,-18.0,1035.0,205.6,0.0,0.0,0.0,1.0,0.0,0.0,34.0
98,98,98,98,98,-26.0,-19.0,1035.0,208.73,0.0,0.0,0.0,1.0,0.0,0.0,27.0
99,99,99,99,99,-27.0,-18.0,1035.0,213.65,0.0,0.0,0.0,1.0,0.0,0.0,25.0
100,100,100,100,100,-27.0,-19.0,1035.0,218.57,0.0,0.0,0.0,1.0,0.0,0.0,28.0
101,101,101,101,101,-27.0,-16.0,1034.0,4.92,0.0,0.0,1.0,0.0,0.0,0.0,28.0
102,102,102,102,102,-26.0,-16.0,1035.0,8.05,0.0,0.0,1.0,0.0,0.0,0.0,27.0
103,103,103,103,103,-27.0,-16.0,1034.0,13.86,0.0,0.0,1.0,0.0,0.0,0.0,27.0
104,104,104,104,104,-26.0,-16.0,1035.0,18.78,0.0,0.0,1.0,0.0,0.0,0.0,27.0
105,105,105,105,105,-26.0,-15.0,1035.0,24.59,0.0,0.0,1.0,0.0,0.0,0.0,29.0
106,106,106,106,106,-25.0,-14.0,1035.0,29.51,0.0,0.0,1.0,0.0,0.0,0.0,36.0
107,107,107,107,107,-25.0,-13.0,1035.0,34.43,0.0,0.0,1.0,0.0,0.0,0.0,30.0
108,108,108,108,108,-25.0,-12.0,1034.0,39.35,0.0,0.0,1.0,0.0,0.0,0.0,27.0
109,109,109,109,109,-24.0,-11.0,1032.0,41.14,0.0,0.0,1.0,0.0,0.0,0.0,39.0
110,110,110,110,110,-22.0,-11.0,1032.0,0.89,0.0,0.0,0.0,0.0,0.0,1.0,41.0
111,111,111,111,111,-23.0,-11.0,1031.0,1.79,0.0,0.0,0.0,1.0,0.0,0.0,33.0
112,112,112,112,112,-24.0,-11.0,1031.0,3.58,0.0,0.0,0.0,1.0,0.0,0.0,50.0
113,113,113,113,113,-23.0,-11.0,1031.0,5.37,0.0,0.0,0.0,1.0,0.0,0.0,56.0
114,114,114,114,114,-23.0,-11.0,1032.0,7.16,0.0,0.0,0.0,1.0,0.0,0.0,59.0
115,115,115,115,115,-22.0,-13.0,1033.0,10.29,0.0,0.0,0.0,1.0,0.0,0.0,60.0
116,116,116,116,116,-22.0,-12.0,1033.0,13.42,0.0,0.0,0.0,1.0,0.0,0.0,84.0
117,117,117,117,117,-24.0,-18.0,1033.0,16.55,0.0,0.0,0.0,1.0,0.0,0.0,106.0
118,118,118,118,118,-22.0,-13.0,1034.0,20.57,0.0,0.0,0.0,1.0,0.0,0.0,66.0
