,size,#columns,ave_rows_with_missing_values_ratio_per_window,max_rows_with_missing_values_ratio_per_window,total_rows_with_missing_values_ratio,overall missing value ratio,overall average null columns ratio,average null columns ratio among all windows,max average #null columns ratio among all windows,average missing value ratio among all windows,max missing value ration among all windows,IForest_ave_anomaly_ratio,IForest_max_anomaly_ratio,ECOD_ave_anomaly_ratio,ECOD_max_anomaly_ratio,mean_ave_anomaly_ratio,max_ave_anomaly_ratio,ECOD_overall_anomaly_ratio,IForest_overall_anomaly_ratio,ave_overall_anomaly_ratio,hdddm_drift_percentage,kdq_drift_percentage,ave_drift_percentage,hdddm_warning_percentage,kdq_warning_percentage,ave_warning_percentage,ks_ave_drift_percentage,ks_max_drift_percentage,hdddm_ave_drift_percentage,hdddm_max_drift_percentage,kdq_ave_drift_percentage,kdq_max_drift_percentage,cbdb_ave_drift_percentage,cbdb_max_drift_percentage,pca_ave_drift_percentage,pca_max_drift_percentage,ave_drift_percentage,max_drift_percentage,ks_ave_warning_percentage,ks_max_warning_percentage,hdddm_ave_warning_percentage,hdddm_max_warning_percentage,kdq_ave_warning_percentage,kdq_max_warning_percentage,cbdb_ave_warning_percentage,cbdb_max_warning_percentage,pca_ave_warning_percentage,pca_max_warning_percentage,ave_warning_percentage,max_warning_percentage
dataset_experiment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/allstate_claims_severity,188318,132,0.0,0.0,0.0,0.0,0.0,,,,,0.011148936170212766,0.016,0.011797872340425532,0.0155,0.011483695652173912,0.01475,0.01178857039688187,0.011140730041737911,0.011464650219309891,0.021739130434782608,0.021739130434782608,0.08572627172970324,0.0,0.0,0.00030167050039594254,0.0012632452204080094,0.6739130434782609,0.16972736528526716,0.41304347826086957,0.0001885440627474641,0.06521739130434782,0.1717259323503903,0.41304347826086957,0.0,0.0,0.08572627172970324,0.6739130434782609,0.0012066820015837702,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030167050039594254,0.15217391304347827
dataset_experiment_info/bike_sharing_demand,10886,12,0.0,0.0,0.0,0.0,0.0,,,,,0.011481481481481481,0.027777777777777776,0.01074074074074074,0.05277777777777778,0.010615079365079366,0.04027777777777778,0.010655888296895094,0.011390777144956826,0.01102333272092596,0.2857142857142857,0.07142857142857142,0.3948412698412698,0.0,0.0,0.0,0.6825396825396826,1.0,0.4603174603174603,0.7857142857142857,0.047619047619047616,0.42857142857142855,0.3888888888888889,0.7142857142857143,0.0,0.0,0.3948412698412698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_experiment_info/rssi,9984,5,0.0,0.0,0.0,0.0,0.0,,,,,0.01963927855711423,0.07414829659318638,0.014028056112224449,0.06613226452905811,0.017455964560700348,0.07014028056112225,0.014022435897435898,0.019631410256410256,0.016826923076923076,0.10526315789473684,0.0,0.2631578947368421,0.0,0.0,0.013157894736842105,0.631578947368421,0.8421052631578947,0.18421052631578946,0.2631578947368421,0.0,0.0,0.23684210526315788,0.2631578947368421,0.0,0.0,0.2631578947368421,0.8421052631578947,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.05263157894736842
dataset_experiment_info/noaa,18159,9,0.0,0.0,0.0,0.0,0.0,,,,,0.017388888888888888,0.04722222222222222,0.01538888888888889,0.03611111111111111,0.016326530612244896,0.03888888888888889,0.015364282174128531,0.017236631973126273,0.016300457073627404,0.04081632653061224,0.2653061224489796,0.267219387755102,0.0,0.0,0.021683673469387755,0.5229591836734694,0.9387755102040817,0.23724489795918366,0.46938775510204084,0.09183673469387756,0.24489795918367346,0.21683673469387754,0.3877551020408163,0.0,0.0,0.267219387755102,0.9387755102040817,0.08673469387755102,0.22448979591836735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021683673469387755,0.22448979591836735
dataset_experiment_info/KDDCUP99,494021,42,0.0,0.0,0.0,0.0,0.0,,,,,0.004833910244731888,0.01603206412825651,0.0,0.0,0.002417372662412793,0.008016032064128256,0.0,0.00483380261162987,0.002416901305814935,0.13245702730030334,0.0,0.0509644551606129,0.0,0.0,0.00010154433814696707,0.0001814834979647922,0.006066734074823054,0.10034309023186677,0.24974721941354905,3.456828532662709e-05,0.004044489383215369,0.10329867862729339,0.243680485338726,0.0,0.0,0.0509644551606129,0.10329867862729339,0.00040617735258786827,0.012133468149646108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010154433814696707,0.012133468149646108
dataset_experiment_info/electricity_prices,45312,9,0.0,0.0,0.0,0.0,0.0,,,,,0.01181592039800995,0.12351190476190477,0.014458955223880597,0.0744047619047619,0.013336489898989898,0.09077380952380952,0.01438912429378531,0.011895303672316384,0.013142213983050847,0.18181818181818182,0.9393939393939394,0.38484848484848483,0.0,0.0,0.0015151515151515152,0.7606060606060606,1.0,0.30606060606060603,0.4393939393939394,0.19393939393939394,0.7575757575757576,0.2787878787878788,0.3939393939393939,0.0,0.0,0.38484848484848483,1.0,0.006060606060606061,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015151515151515152,0.015151515151515152
dataset_experiment_info/tetouan,52416,9,0.0,0.0,0.0,0.0,0.0,,,,,0.004050925925925926,0.02361111111111111,0.01222993827160494,0.06157407407407407,0.008464170692431562,0.03611111111111111,0.012095543345543346,0.004006410256410256,0.0080509768009768,0.34782608695652173,1.0,0.7,0.0,0.0,0.002173913043478261,0.9826086956521739,1.0,0.5391304347826087,0.6956521739130435,0.7304347826086957,1.0,0.5478260869565218,0.782608695652174,0.0,0.0,0.7,1.0,0.008695652173913044,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002173913043478261,0.043478260869565216
dataset_experiment_info/beijing_multisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/wanliu,35064,18,0.1275462962962963,0.8513888888888889,0.12634040611453343,0.010214655106852231,0.010214655106852231,0.010220550411522634,0.06010802469135802,0.010220550411522634,0.06010802469135802,0.011313657407407408,0.07777777777777778,0.0,0.0,0.005585106382978724,0.03888888888888889,0.0,0.011151038101756787,0.005575519050878394,0.2553191489361702,1.0,0.28132387706855794,0.0,0.0,0.00591016548463357,0.40110323089046496,1.0,0.30102442868400314,0.5319148936170213,0.12293144208037825,0.9787234042553191,0.30023640661938533,0.574468085106383,0.0,0.0,0.28132387706855794,1.0,0.02364066193853428,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00591016548463357,0.1702127659574468
