,size,#columns,ave_rows_with_missing_values_ratio_per_window,max_rows_with_missing_values_ratio_per_window,total_rows_with_missing_values_ratio,overall missing value ratio,overall average null columns ratio,average null columns ratio among all windows,max average #null columns ratio among all windows,average missing value ratio among all windows,max missing value ration among all windows,IForest_ave_anomaly_ratio,IForest_max_anomaly_ratio,ECOD_ave_anomaly_ratio,ECOD_max_anomaly_ratio,mean_ave_anomaly_ratio,max_ave_anomaly_ratio,ECOD_overall_anomaly_ratio,IForest_overall_anomaly_ratio,ave_overall_anomaly_ratio,hdddm_drift_percentage,kdq_drift_percentage,ave_drift_percentage,hdddm_warning_percentage,kdq_warning_percentage,ave_warning_percentage,ks_ave_drift_percentage,ks_max_drift_percentage,hdddm_ave_drift_percentage,hdddm_max_drift_percentage,kdq_ave_drift_percentage,kdq_max_drift_percentage,cbdb_ave_drift_percentage,cbdb_max_drift_percentage,pca_ave_drift_percentage,pca_max_drift_percentage,ave_drift_percentage,max_drift_percentage,ks_ave_warning_percentage,ks_max_warning_percentage,hdddm_ave_warning_percentage,hdddm_max_warning_percentage,kdq_ave_warning_percentage,kdq_max_warning_percentage,cbdb_ave_warning_percentage,cbdb_max_warning_percentage,pca_ave_warning_percentage,pca_max_warning_percentage,ave_warning_percentage,max_warning_percentage
dataset_experiment_info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/allstate_claims_severity,188318,132,0.0,0.0,0.0,0.0,0.0,,,,,0.011148936170212766,0.016,0.011797872340425532,0.0155,0.011483695652173912,0.01475,0.01178857039688187,0.011140730041737911,0.011464650219309891,0.021739130434782608,0.021739130434782608,0.08572627172970324,0.0,0.0,0.00030167050039594254,0.0012632452204080094,0.6739130434782609,0.16972736528526716,0.41304347826086957,0.0001885440627474641,0.06521739130434782,0.1717259323503903,0.41304347826086957,0.0,0.0,0.08572627172970324,0.6739130434782609,0.0012066820015837702,0.15217391304347827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030167050039594254,0.15217391304347827
dataset_experiment_info/bike_sharing_demand,10886,12,0.0,0.0,0.0,0.0,0.0,,,,,0.011481481481481481,0.027777777777777776,0.01074074074074074,0.05277777777777778,0.010615079365079366,0.04027777777777778,0.010655888296895094,0.011390777144956826,0.01102333272092596,0.2857142857142857,0.07142857142857142,0.3948412698412698,0.0,0.0,0.0,0.6825396825396826,1.0,0.4603174603174603,0.7857142857142857,0.047619047619047616,0.42857142857142855,0.3888888888888889,0.7142857142857143,0.0,0.0,0.3948412698412698,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dataset_experiment_info/rssi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/noaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/KDDCUP99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/electricity_prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/tetouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/wanliu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/wanshouxingong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_experiment_info/beijing_multisite/gucheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
