,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,length,weight,count,looped,neighbors,income,label
0,0,0,0,0,41413,0,1.0,1,0,1,5000000000.0,white
1,1,1,1,1,41414,0,1.0,1,0,2,5000000000.0,white
2,2,2,2,2,41415,0,1.0,1,0,2,915000000.0,white
3,3,3,3,3,41416,0,1.0,1,0,2,34025000000.0,white
4,4,4,4,4,41417,0,1.0,1,0,2,12751000000.0,white
5,5,5,5,5,41418,0,0.5,1,0,2,4729000000.0,white
6,6,6,6,6,41419,0,0.5,1,0,2,135257000000.0,white
7,7,7,7,7,41420,0,0.5,1,0,2,172000000.0,white
8,8,8,8,8,41421,2,1.5,2,1,4,9746000000.0,white
9,9,9,9,9,41422,0,1.0,1,0,2,4971000000.0,white
10,10,10,10,10,41423,0,2.0,2,0,4,5088000000.0,white
11,11,11,11,11,41424,0,1.0,1,0,2,1000000000.0,white
12,12,12,12,12,41425,2,1.0,1,0,2,12746000000.0,white
13,13,13,13,13,41426,0,1.0,1,0,1,607000000.0,white
14,14,14,14,14,41427,2,0.25,1,0,2,130457000000.0,white
15,15,15,15,15,41428,2,0.25,1,0,2,4800000000.0,white
16,16,16,16,16,41429,64,12.7062523495585,20,20,56,124120000000.0,white
17,17,17,17,17,41430,4,1.0,1,0,2,12741000000.0,white
18,18,18,18,18,41431,4,1.125,3,0,6,13735000000.0,white
19,19,19,19,19,41432,4,0.125,1,0,2,126013000000.0,white
20,20,20,20,20,41433,0,0.5,1,0,2,152000000.0,white
21,21,21,21,21,41434,0,1.0,1,0,2,4899000000.0,white
22,22,22,22,22,41435,0,0.5,1,0,2,2425000000.0,white
23,23,23,23,23,41436,0,1.0,1,0,1,12639000000.0,white
24,24,24,24,24,41437,0,0.5,1,0,2,5196000000.0,white
25,25,25,25,25,41438,0,0.5,1,0,1,4926000000.0,white
26,26,26,26,26,41439,0,0.5,1,0,2,72000000.0,white
27,27,27,27,27,41440,6,0.0625,1,0,2,121101000000.0,white
28,28,28,28,28,41441,6,0.0625,1,0,1,4912000000.0,white
29,29,29,29,29,41442,14,0.324619391025641,20,0,2,4818000000.0,white
30,30,30,30,30,41443,6,0.875,4,0,2,4778000000.0,white
31,31,31,31,31,41444,0,0.5,1,0,2,4904000000.0,white
32,32,32,32,32,41445,0,0.5,1,0,2,96000000.0,white
33,33,33,33,33,41446,0,1.0,1,0,1,80000000000.0,white
34,34,34,34,34,41447,0,2.0,2,0,2,10000000000.0,white
35,35,35,35,35,41448,0,0.5,1,0,2,4871000000.0,white
36,36,36,36,36,41449,4,1.5,5,0,5,750000000.0,white
37,37,37,37,37,41450,32,1.7501220703125,4,1,5,632000000.0,white
38,38,38,38,38,41451,0,0.5,1,0,2,4729000000.0,white
39,39,39,39,39,41452,68,0.500000029802322,2,0,2,264000000.0,white
40,40,40,40,40,41453,0,0.5,1,0,2,4587000000.0,white
41,41,41,41,41,41454,40,0.813003540039062,5,0,5,1027000000.0,white
42,42,42,42,42,41455,0,0.5,1,0,2,4339000000.0,white
43,43,43,43,43,41456,6,1.1875,5,0,5,1032000000.0,white
44,44,44,44,44,41457,0,0.5,1,0,2,3449000000.0,white
45,45,45,45,45,41458,8,0.53125,2,0,2,1235000000.0,white
46,46,46,46,46,41459,0,0.5,1,0,2,3009000000.0,white
47,47,47,47,47,41460,6,1.0,1,0,2,12736000000.0,white
48,48,48,48,48,41461,4,0.125,1,0,2,244000000.0,white
49,49,49,49,49,41462,4,0.125,1,0,2,4556000000.0,white
50,50,50,50,50,41463,4,0.5,2,0,1,4918000000.0,white
51,51,51,51,51,41464,6,0.1875,3,0,2,4815000000.0,white
52,52,52,52,52,41465,6,0.1875,3,0,2,33000000.0,white
53,53,53,53,53,41466,8,0.59375,3,0,4,2177000000.0,white
54,54,54,54,54,41467,2,0.5,1,0,2,145000000.0,white
55,55,55,55,55,41468,8,1.1875,4,3,2,4848000000.0,white
56,56,56,56,56,41469,46,0.250032424926758,2,1,3,318000000.0,white
57,57,57,57,57,41470,2,0.25,1,0,2,2903000000.0,white
58,58,58,58,58,41471,44,0.765872955322266,4,1,6,615000000.0,white
59,59,59,59,59,41472,4,0.125,1,0,2,2825000000.0,white
60,60,60,60,60,41473,42,0.130874633789062,2,2,5,410000000.0,white
61,61,61,61,61,41474,0,0.5,1,0,2,50000000.0,white
62,62,62,62,62,41475,0,0.5,1,0,2,4950000000.0,white
63,63,63,63,63,41476,8,1.0,1,0,2,12731000000.0,white
64,64,64,64,64,41477,6,0.0625,1,0,2,2766000000.0,white
65,65,65,65,65,41478,70,0.0630035549402237,2,1,4,229000000.0,white
66,66,66,66,66,41479,8,0.03125,1,0,2,2711000000.0,white
67,67,67,67,67,41480,72,0.031376376748085,2,1,5,278000000.0,white
68,68,68,68,68,41481,10,0.015625,1,0,2,2661000000.0,white
69,69,69,69,69,41482,52,0.0195639133453369,2,2,5,240000000.0,white
70,70,70,70,70,41483,8,0.03125,1,0,2,4888000000.0,white
71,71,71,71,71,41484,8,0.03125,1,0,2,116213000000.0,white
72,72,72,72,72,41485,10,0.015625,1,0,2,111325000000.0,white
73,73,73,73,73,41486,10,0.015625,1,0,2,4888000000.0,white
