,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0,0,0,0,0,0,0,0,0,0,0,0.056443,0.439155,0.003467,0.422915,0.414912,UP
1,1,1,1,1,1,1,1,1,1,1,0.051699,0.415055,0.003467,0.422915,0.414912,UP
2,2,2,2,2,2,2,2,2,2,2,0.051489,0.385004,0.003467,0.422915,0.414912,UP
3,3,3,3,3,3,3,3,3,3,3,0.045485,0.314639,0.003467,0.422915,0.414912,UP
4,4,4,4,4,4,4,4,4,4,4,0.042482,0.251116,0.003467,0.422915,0.414912,DOWN
5,5,5,5,5,5,5,5,5,5,5,0.041161,0.207528,0.003467,0.422915,0.414912,DOWN
6,6,6,6,6,6,6,6,6,6,6,0.041161,0.171824,0.003467,0.422915,0.414912,DOWN
7,7,7,7,7,7,7,7,7,7,7,0.041161,0.152782,0.003467,0.422915,0.414912,DOWN
8,8,8,8,8,8,8,8,8,8,8,0.041161,0.13493,0.003467,0.422915,0.414912,DOWN
9,9,9,9,9,9,9,9,9,9,9,0.041161,0.140583,0.003467,0.422915,0.414912,DOWN
10,10,10,10,10,10,10,10,10,10,10,0.044374,0.168997,0.003467,0.422915,0.414912,UP
11,11,11,11,11,11,11,11,11,11,11,0.049868,0.212437,0.003467,0.422915,0.414912,UP
12,12,12,12,12,12,12,12,12,12,12,0.051489,0.298721,0.003467,0.422915,0.414912,UP
13,13,13,13,13,13,13,13,13,13,13,0.042482,0.39036,0.003467,0.422915,0.414912,DOWN
14,14,14,14,14,14,14,14,14,14,14,0.040861,0.402261,0.003467,0.422915,0.414912,DOWN
15,15,15,15,15,15,15,15,15,15,15,0.040711,0.462214,0.003467,0.422915,0.414912,DOWN
16,16,16,16,16,16,16,16,16,16,16,0.040861,0.488248,0.003467,0.422915,0.414912,DOWN
17,17,17,17,17,17,17,17,17,17,17,0.040711,0.493306,0.003467,0.422915,0.414912,DOWN
18,18,18,18,18,18,18,18,18,18,18,0.041041,0.53258,0.003467,0.422915,0.414912,DOWN
19,19,19,19,19,19,19,19,19,19,19,0.041161,0.546415,0.003467,0.422915,0.414912,DOWN
20,20,20,20,20,20,20,20,20,20,20,0.044374,0.53496,0.003467,0.422915,0.414912,UP
21,21,21,21,21,21,21,21,21,21,21,0.044374,0.51681,0.003467,0.422915,0.414912,UP
22,22,22,22,22,22,22,22,22,22,22,0.044374,0.513984,0.003467,0.422915,0.414912,UP
23,23,23,23,23,23,23,23,23,23,23,0.045485,0.513835,0.003467,0.422915,0.414912,UP
24,24,24,24,24,24,24,24,24,24,24,0.044374,0.505356,0.003467,0.422915,0.414912,UP
25,25,25,25,25,25,25,25,25,25,25,0.044374,0.497917,0.003467,0.422915,0.414912,UP
26,26,26,26,26,26,26,26,26,26,26,0.042482,0.499554,0.003467,0.422915,0.414912,DOWN
27,27,27,27,27,27,27,27,27,27,27,0.044374,0.491669,0.003467,0.422915,0.414912,UP
28,28,28,28,28,28,28,28,28,28,28,0.044374,0.489735,0.003467,0.422915,0.414912,UP
29,29,29,29,29,29,29,29,29,29,29,0.042482,0.47709,0.003467,0.422915,0.414912,DOWN
30,30,30,30,30,30,30,30,30,30,30,0.040861,0.466825,0.003467,0.422915,0.414912,DOWN
31,31,31,31,31,31,31,31,31,31,31,0.041161,0.478132,0.003467,0.422915,0.414912,DOWN
32,32,32,32,32,32,32,32,32,32,32,0.041161,0.484975,0.003467,0.422915,0.414912,DOWN
33,33,33,33,33,33,33,33,33,33,33,0.041161,0.503124,0.003467,0.422915,0.414912,DOWN
34,34,34,34,34,34,34,34,34,34,34,0.042482,0.55296,0.003467,0.422915,0.414912,DOWN
35,35,35,35,35,35,35,35,35,35,35,0.044374,0.612318,0.003467,0.422915,0.414912,UP
36,36,36,36,36,36,36,36,36,36,36,0.041041,0.587623,0.003467,0.422915,0.414912,DOWN
