,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0,0,0,0,0,2.58,0.136,241.97,10.6,0.0,0.0,0.0
1,1,1,1,1,2.552,0.1,241.75,10.4,0.0,0.0,0.0
2,2,2,2,2,2.55,0.1,241.64,10.4,0.0,0.0,0.0
3,3,3,3,3,2.55,0.1,241.71,10.4,0.0,0.0,0.0
4,4,4,4,4,2.554,0.1,241.98,10.4,0.0,0.0,0.0
5,5,5,5,5,2.55,0.1,241.83,10.4,0.0,0.0,0.0
6,6,6,6,6,2.534,0.096,241.07,10.4,0.0,0.0,0.0
7,7,7,7,7,2.484,0.0,241.29,10.2,0.0,0.0,0.0
8,8,8,8,8,2.468,0.0,241.23,10.2,0.0,0.0,0.0
9,9,9,9,9,2.486,0.0,242.18,10.2,0.0,0.0,0.0
10,10,10,10,10,2.492,0.0,242.46,10.2,0.0,0.0,0.0
11,11,11,11,11,2.5,0.0,242.88,10.2,0.0,0.0,0.0
12,12,12,12,12,2.494,0.0,242.57,10.2,0.0,0.0,0.0
13,13,13,13,13,2.492,0.0,242.41,10.2,0.0,0.0,0.0
14,14,14,14,14,2.48,0.0,241.81,10.2,0.0,0.0,0.0
15,15,15,15,15,2.478,0.0,241.73,10.2,0.0,0.0,0.0
16,16,16,16,16,2.47,0.0,241.29,10.2,0.0,0.0,0.0
17,17,17,17,17,2.466,0.0,241.11,10.2,0.0,0.0,0.0
18,18,18,18,18,2.456,0.0,240.59,10.2,0.0,0.0,0.0
19,19,19,19,19,2.46,0.0,240.83,10.2,0.0,0.0,0.0
20,20,20,20,20,2.544,0.092,240.9,10.6,0.0,0.0,0.0
21,21,21,21,21,2.55,0.116,241.15,10.4,0.0,1.0,0.0
22,22,22,22,22,2.554,0.118,241.55,10.6,0.0,1.0,0.0
23,23,23,23,23,2.65,0.218,241.67,11.0,0.0,2.0,0.0
24,24,24,24,24,2.682,0.258,242.45,11.0,0.0,1.0,0.0
25,25,25,25,25,2.66,0.252,241.6,11.0,0.0,1.0,0.0
26,26,26,26,26,2.65,0.25,241.14,11.0,0.0,2.0,0.0
27,27,27,27,27,2.654,0.25,241.38,11.0,0.0,1.0,0.0
28,28,28,28,28,2.642,0.248,240.9,11.0,0.0,2.0,0.0
29,29,29,29,29,2.644,0.25,241.15,11.0,0.0,1.0,0.0
30,30,30,30,30,2.648,0.252,241.32,11.0,0.0,1.0,0.0
31,31,31,31,31,2.646,0.252,241.35,11.0,0.0,2.0,0.0
32,32,32,32,32,2.644,0.252,241.38,11.0,0.0,1.0,0.0
33,33,33,33,33,2.656,0.256,242.03,11.0,0.0,1.0,0.0
34,34,34,34,34,2.65,0.254,241.86,11.0,0.0,2.0,0.0
35,35,35,35,35,2.642,0.252,241.47,11.0,0.0,1.0,0.0
36,36,36,36,36,2.63,0.248,240.96,10.8,0.0,1.0,0.0
37,37,37,37,37,2.606,0.214,240.94,10.8,0.0,2.0,0.0
38,38,38,38,38,2.556,0.132,240.31,10.6,0.0,1.0,0.0
39,39,39,39,39,2.602,0.216,240.46,10.8,0.0,1.0,0.0
40,40,40,40,40,2.602,0.216,240.5,10.8,0.0,1.0,0.0
41,41,41,41,41,2.594,0.214,240.08,10.8,0.0,2.0,0.0
42,42,42,42,42,2.6,0.216,240.5,10.8,0.0,1.0,0.0
43,43,43,43,43,2.602,0.216,240.65,10.8,0.0,1.0,0.0
44,44,44,44,44,2.6,0.216,240.68,10.8,0.0,1.0,0.0
45,45,45,45,45,2.598,0.216,240.69,10.8,0.0,1.0,0.0
46,46,46,46,46,2.59,0.214,240.3,10.8,0.0,2.0,0.0
47,47,47,47,47,2.554,0.148,240.85,10.6,0.0,1.0,0.0
48,48,48,48,48,2.484,0.0,240.98,10.2,0.0,0.0,0.0
49,49,49,49,49,2.472,0.0,241.4,10.2,0.0,0.0,0.0
50,50,50,50,50,2.486,0.0,242.11,10.2,0.0,0.0,0.0
51,51,51,51,51,2.486,0.0,242.12,10.2,0.0,0.0,0.0
52,52,52,52,52,2.482,0.0,241.96,10.2,0.0,0.0,0.0
53,53,53,53,53,2.484,0.0,241.98,10.2,0.0,0.0,0.0
54,54,54,54,54,2.48,0.0,241.84,10.2,0.0,0.0,0.0
55,55,55,55,55,2.458,0.0,240.63,10.2,0.0,0.0,0.0
56,56,56,56,56,2.46,0.0,240.81,10.2,0.0,0.0,0.0
57,57,57,57,57,2.462,0.0,240.82,10.2,0.0,0.0,0.0
58,58,58,58,58,2.472,0.0,241.39,10.2,0.0,0.0,0.0
59,59,59,59,59,2.466,0.0,241.09,10.2,0.0,0.0,0.0
60,60,60,60,60,2.466,0.0,241.09,10.2,0.0,0.0,0.0
61,61,61,61,61,2.59,0.118,241.79,10.6,0.0,0.0,0.0
62,62,62,62,62,2.59,0.132,242.04,10.6,0.0,0.0,0.0
63,63,63,63,63,2.576,0.128,241.43,10.6,0.0,0.0,0.0
64,64,64,64,64,2.566,0.128,241.05,10.6,0.0,0.0,0.0
65,65,65,65,65,2.564,0.126,240.98,10.6,0.0,0.0,0.0
66,66,66,66,66,2.56,0.126,240.91,10.6,0.0,0.0,0.0
67,67,67,67,67,2.552,0.124,240.58,10.6,0.0,0.0,0.0
68,68,68,68,68,2.564,0.128,241.19,10.6,0.0,0.0,0.0
69,69,69,69,69,2.558,0.126,240.99,10.6,0.0,0.0,0.0
70,70,70,70,70,2.56,0.126,241.12,10.6,0.0,0.0,0.0
71,71,71,71,71,2.576,0.132,241.95,10.6,0.0,0.0,0.0
72,72,72,72,72,2.57,0.13,241.73,10.6,0.0,0.0,0.0
73,73,73,73,73,2.56,0.128,241.24,10.6,0.0,0.0,0.0
74,74,74,74,74,2.566,0.128,241.49,10.6,0.0,0.0,0.0
75,75,75,75,75,2.502,0.0,242.0,10.2,0.0,0.0,0.0
76,76,76,76,76,2.482,0.0,241.94,10.2,0.0,0.0,0.0
77,77,77,77,77,2.478,0.0,241.79,10.2,0.0,0.0,0.0
78,78,78,78,78,2.482,0.0,242.0,10.2,0.0,0.0,0.0
79,79,79,79,79,2.58,0.102,242.37,10.6,0.0,0.0,0.0
80,80,80,80,80,2.564,0.102,242.3,10.6,0.0,0.0,0.0
81,81,81,81,81,2.58,0.106,243.15,10.6,0.0,0.0,0.0
82,82,82,82,82,2.572,0.104,242.8,10.6,0.0,0.0,0.0
83,83,83,83,83,2.566,0.102,242.53,10.6,0.0,0.0,0.0
