,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,class
0,0,0,0,0,0.98748,3.6706e-05,0.0,0.0,1.8353e-05,0.0,0,0,0.0,0.00038541,0.00027529,0,0.0,0.0055977,1.8353e-05,0.0,0.0,3.6706e-05,0.0,0.0,0,0.0,7.3412e-05,0.00014682,0.0,0.0,0.005928,0
1,1,1,1,1,0.99887,4.0235e-05,0.0,0.0,4.0235e-05,0.0,0,0,0.0,0.0,0.0,0,0.00020117,0.00084493,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2,2,2,2,0.99364,0.0,0.0,2.2991e-05,0.0,0.0,0,0,0.0,0.0010806,1.1496e-05,0,0.0010576,0.0031843,0.0,0.0,1.1496e-05,0.0,0.0,0.0,0,0.0,5.7479e-05,0.0,0.0,0.00031038,0.00062077,2
3,3,3,3,3,0.9974,0.0001038,0.0,0.0,0.0,0.0,0,0,0.0,0.00029065,0.0,0,0.0001038,0.0018685,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00022837,0.0,0.0,0.0,0.0,3
4,4,4,4,4,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,5,5,5,5,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
6,6,6,6,6,0.98952,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.00080052,0.0,0,0.00014555,0.005822,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00014555,0.0,0.0,0.0002911,0.0032749,6
7,7,7,7,7,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7
8,8,8,8,8,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8
9,9,9,9,9,0.75318,0.0,0.0,0.00062388,0.0,0.0,0,0,0.0,0.077829,0.0049131,0,0.027919,0.10544,0.0,0.0,7.7985e-05,7.7985e-05,0.0,0.0,0,0.0,0.0027295,0.0,0.0,0.0020276,0.025189,9
