,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,class
0,0,0,0,0,0,0,0,0,0,19.8,14.0,1019.6,8.4,9.9,15.9,28.9,14.0,1
1,1,1,1,1,1,1,1,1,1,26.8,22.2,1006.2,8.1,10.9,19.0,34.0,21.0,1
2,2,2,2,2,2,2,2,2,2,34.6,32.9,1004.6,3.9,13.8,22.0,36.0,33.1,2
3,3,3,3,3,3,3,3,3,3,26.4,21.5,1006.9,8.0,18.7,30.1,39.9,16.0,2
4,4,4,4,4,4,4,4,4,4,14.7,7.9,1009.9,8.1,14.1,22.0,21.0,9.0,1
5,5,5,5,5,5,5,5,5,5,30.6,22.7,1015.1,12.6,9.3,17.1,42.1,19.0,1
6,6,6,6,6,6,6,6,6,6,37.2,30.2,1012.2,10.7,8.1,17.1,50.0,30.9,1
7,7,7,7,7,7,7,7,7,7,36.3,30.1,1002.8,9.7,6.0,17.1,43.0,30.9,1
8,8,8,8,8,8,8,8,8,8,14.9,10.8,1025.6,8.0,19.8,26.0,32.0,7.0,1
9,9,9,9,9,9,9,9,9,9,10.4,5.3,1039.9,4.8,14.7,19.0,12.9,9.0,1
10,10,10,10,10,10,10,10,10,10,15.3,12.0,1038.9,2.6,9.2,10.1,19.9,9.0,2
11,11,11,11,11,11,11,11,11,11,17.8,11.9,1030.4,9.2,6.6,10.1,24.1,10.0,2
12,12,12,12,12,12,12,12,12,12,19.7,13.6,1019.1,11.8,5.0,10.1,37.0,10.9,1
13,13,13,13,13,13,13,13,13,13,23.9,20.8,1016.4,4.3,5.1,10.1,34.0,15.1,1
14,14,14,14,14,14,14,14,14,14,36.7,36.4,1003.8,1.0,6.6,15.0,39.0,34.0,2
15,15,15,15,15,15,15,15,15,15,18.4,12.5,1022.8,7.8,18.7,26.0,35.1,9.0,1
16,16,16,16,16,16,16,16,16,16,7.0,-0.1,1032.4,9.6,10.7,22.0,18.0,1.0,1
17,17,17,17,17,17,17,17,17,17,17.8,11.9,1018.3,7.5,10.1,22.9,23.0,10.0,1
18,18,18,18,18,18,18,18,18,18,8.5,-0.8,1031.4,8.5,12.7,22.0,16.0,0.0,1
19,19,19,19,19,19,19,19,19,19,10.2,2.7,1032.0,6.9,13.5,22.0,17.1,6.1,1
20,20,20,20,20,20,20,20,20,20,10.4,6.6,1023.8,5.3,9.7,15.9,18.0,1.9,2
21,21,21,21,21,21,21,21,21,21,4.8,-0.6,1030.1,4.4,7.2,10.1,19.0,-5.1,2
22,22,22,22,22,22,22,22,22,22,28.8,28.2,1018.6,0.9,9.7,18.1,34.0,19.9,2
23,23,23,23,23,23,23,23,23,23,6.4,0.7,1031.6,5.4,18.0,22.0,18.0,0.0,2
24,24,24,24,24,24,24,24,24,24,2.8,-2.8,1039.0,4.9,14.2,18.1,7.0,1.0,1
25,25,25,25,25,25,25,25,25,25,8.2,3.3,1032.6,8.1,10.0,13.0,17.1,3.0,1
26,26,26,26,26,26,26,26,26,26,18.6,14.8,1018.0,4.1,9.3,26.0,19.9,16.0,2
27,27,27,27,27,27,27,27,27,27,9.0,4.8,1021.8,3.5,22.1,31.1,18.0,1.9,1
28,28,28,28,28,28,28,28,28,28,-2.5,-9.8,1041.6,11.5,10.9,13.0,1.9,-8.0,1
29,29,29,29,29,29,29,29,29,29,-2.6,-11.8,1032.2,14.9,12.1,22.9,12.0,-11.0,1
30,30,30,30,30,30,30,30,30,30,12.1,6.8,1020.7,10.8,7.8,13.0,30.9,3.9,1
31,31,31,31,31,31,31,31,31,31,10.4,3.9,1029.1,11.4,8.3,17.1,21.0,0.0,1
32,32,32,32,32,32,32,32,32,32,1.3,-5.9,1032.5,9.1,11.0,17.1,15.1,-7.1,1
33,33,33,33,33,33,33,33,33,33,22.3,18.5,1017.2,5.1,10.3,15.9,25.0,10.9,2
34,34,34,34,34,34,34,34,34,34,5.6,0.2,1020.8,5.5,9.7,12.0,16.0,-5.1,1
35,35,35,35,35,35,35,35,35,35,18.1,14.5,1016.9,4.7,9.0,15.9,28.0,10.9,2
36,36,36,36,36,36,36,36,36,36,19.3,16.2,1013.6,8.1,11.5,22.0,28.9,9.0,2
37,37,37,37,37,37,37,37,37,37,20.9,15.6,1008.7,10.9,9.7,17.1,36.0,9.0,1
38,38,38,38,38,38,38,38,38,38,23.3,18.0,1007.5,14.2,12.8,26.0,34.0,14.0,1
39,39,39,39,39,39,39,39,39,39,17.7,10.5,1018.5,12.5,6.6,17.1,39.0,6.1,1
40,40,40,40,40,40,40,40,40,40,13.0,5.8,1026.7,13.8,13.1,26.0,30.9,-0.9,1
41,41,41,41,41,41,41,41,41,41,30.7,26.0,1012.9,11.6,12.9,17.1,43.0,19.9,1
42,42,42,42,42,42,42,42,42,42,25.3,21.9,1010.2,7.5,12.0,22.0,42.1,14.0,1
43,43,43,43,43,43,43,43,43,43,7.9,4.0,1025.1,6.2,14.7,22.0,12.9,3.9,1
44,44,44,44,44,44,44,44,44,44,7.5,2.8,1020.9,6.7,6.8,11.1,17.1,1.9,1
45,45,45,45,45,45,45,45,45,45,15.3,9.2,1011.0,10.0,7.0,12.0,35.1,1.0,1
46,46,46,46,46,46,46,46,46,46,24.8,16.1,1019.3,12.5,9.6,17.1,32.0,16.0,1
47,47,47,47,47,47,47,47,47,47,28.8,20.8,1020.8,12.5,8.3,15.9,44.1,15.1,1
48,48,48,48,48,48,48,48,48,48,38.0,33.0,1014.1,12.8,13.6,22.0,44.1,26.1,1
49,49,49,49,49,49,49,49,49,49,17.3,9.7,1023.5,8.7,8.5,14.0,25.0,12.0,1
50,50,50,50,50,50,50,50,50,50,15.1,10.1,1032.6,8.7,8.2,8.9,23.0,8.1,2
51,51,51,51,51,51,51,51,51,51,23.9,20.0,1027.5,5.0,3.5,8.9,30.0,21.0,2
52,52,52,52,52,52,52,52,52,52,29.4,28.0,1025.6,6.8,5.0,10.1,34.0,26.1,1
53,53,53,53,53,53,53,53,53,53,34.8,32.8,1019.7,8.2,9.0,10.1,42.1,30.9,2
