,adwin,ddm,eddm,ave,adwin_warning,ddm_warning,eddm_warning,ave_warning
dataset_experiment_info,,,,,,,,
dataset_experiment_info/allstate_claims_severity,,,,,,,,
dataset_experiment_info/bike_sharing_demand,,,,,,,,
dataset_experiment_info/rssi,,,,,,,,
dataset_experiment_info/noaa,,,,,,,,
dataset_experiment_info/KDDCUP99,,,,,,,,
dataset_experiment_info/electricity_prices,,,,,,,,
dataset_experiment_info/tetouan,,,,,,,,
dataset_experiment_info/beijing_multisite,,,,,,,,
dataset_experiment_info/beijing_multisite/wanliu,,,,,,,,
dataset_experiment_info/beijing_multisite/wanshouxingong,,,,,,,,
dataset_experiment_info/beijing_multisite/gucheng,,,,,,,,
dataset_experiment_info/beijing_multisite/huairou,,,,,,,,
dataset_experiment_info/beijing_multisite/nongzhanguan,,,,,,,,
dataset_experiment_info/beijing_multisite/changping,,,,,,,,
dataset_experiment_info/beijing_multisite/dingling,,,,,,,,
dataset_experiment_info/beijing_multisite/aotizhongxin,,,,,,,,
dataset_experiment_info/beijing_multisite/dongsi,,,,,,,,
dataset_experiment_info/beijing_multisite/shunyi,,,,,,,,
dataset_experiment_info/beijing_multisite/guanyuan,,,,,,,,
dataset_experiment_info/beijing_multisite/tiantan,,,,,,,,
dataset_experiment_info/weather_indian_cities,,,,,,,,
dataset_experiment_info/weather_indian_cities/bangalore,,,,,,,,
dataset_experiment_info/weather_indian_cities/lucknow,,,,,,,,
dataset_experiment_info/weather_indian_cities/mumbai,,,,,,,,
dataset_experiment_info/weather_indian_cities/Rajasthan,,,,,,,,
dataset_experiment_info/weather_indian_cities/Bhubhneshwar,,,,,,,,
dataset_experiment_info/weather_indian_cities/delhi,,,,,,,,
dataset_experiment_info/weather_indian_cities/chennai,,,,,,,,
dataset_experiment_info/insects,,,,,,,,
dataset_experiment_info/insects/abrupt_imbalanced,,,,,,,,
dataset_experiment_info/insects/out-of-control,,,,,,,,
dataset_experiment_info/insects/incremental_imbalanced,,,,,,,,
dataset_experiment_info/insects/incremental_reoccurring_balanced,,,,,,,,
dataset_experiment_info/insects/incremental_balanced,,,,,,,,
dataset_experiment_info/insects/incremental_abrupt_balanced,,,,,,,,
dataset_experiment_info/insects/gradual_imbalanced,,,,,,,,
dataset_experiment_info/insects/abrupt_balanced,,,,,,,,
dataset_experiment_info/insects/incremental_abrupt_imbalanced,,,,,,,,
dataset_experiment_info/insects/incremental_reoccurring_imbalanced,,,,,,,,
dataset_experiment_info/insects/gradual_balanced,,,,,,,,
dataset_experiment_info/italian_city_airquality,,,,,,,,
dataset_experiment_info/taxi_ride_duration,,,,,,,,
dataset_experiment_info/airbnb,,,,,,,,
dataset_experiment_info/room_occupancy,0.0033370411568409346,0.0005056122964910507,0.0011123470522803114,0.001651666835204099,0.0,0.014258266761047628,0.023763777935079382,0.012674014898709002
dataset_experiment_info/bitcoin,,,,,,,,
dataset_experiment_info/rialto,,,,,,,,
dataset_experiment_info/airlines,,,,,,,,
dataset_experiment_info/traffic_volumn,,,,,,,,
dataset_experiment_info/news_popularity,,,,,,,,
dataset_experiment_info/beijingPM2.5,,,,,,,,
dataset_experiment_info/energy_prediction,,,,,,,,
dataset_experiment_info/household,,,,,,,,
dataset_experiment_info/election,,,,,,,,
dataset_experiment_info/covtype,,,,,,,,
dataset_experiment_info/house_rent,,,,,,,,
dataset_experiment_info/safe_driver,,,,,,,,
dataset_experiment_info/5cities,,,,,,,,
dataset_experiment_info/5cities/shenyang,,,,,,,,
dataset_experiment_info/5cities/guangzhou,,,,,,,,
dataset_experiment_info/5cities/beijing,,,,,,,,
dataset_experiment_info/5cities/shanghai,,,,,,,,
dataset_experiment_info/5cities/chengdu,,,,,,,,
