,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag_N,store_and_fwd_flag_Y,trip_duration
0,0,0,0,0,0,96469,2,5,-73.98174285888672,40.71915817260742,-73.93882751464845,40.82918167114258,1,0,849
1,1,1,1,1,1,223872,1,1,-73.98508453369139,40.74716567993164,-73.95803833007811,40.71749114990234,1,0,1294
2,2,2,2,2,2,713067,2,5,-73.96527862548828,40.80104064941406,-73.94747924804686,40.81517028808594,1,0,408
3,3,3,3,3,3,652463,1,1,-73.98229217529298,40.751331329345696,-73.99134063720702,40.75033950805664,1,0,280
4,4,4,4,4,4,722901,1,1,-73.97010803222656,40.75979995727539,-73.98935699462889,40.742988586425774,1,0,736
5,5,5,5,5,5,1116520,2,1,-73.98499298095702,40.77389144897461,-73.93649291992188,40.84777069091797,1,0,712
6,6,6,6,6,6,404427,2,1,-73.97333526611328,40.76407241821289,-73.974853515625,40.761734008789055,1,0,114
7,7,7,7,7,7,475569,1,2,-73.99310302734375,40.75263214111328,-73.95390319824217,40.8165397644043,1,0,1204
8,8,8,8,8,8,1019552,2,1,-73.98544311523438,40.73571014404297,-73.95748901367188,40.81161117553711,1,0,1310
9,9,9,9,9,9,300611,2,1,-73.99373626708984,40.74176025390625,-74.00466918945312,40.74546813964844,1,0,445
10,10,10,10,10,10,432779,2,1,-73.97686004638672,40.68337631225586,-73.983642578125,40.68886566162109,1,0,263
11,11,11,11,11,11,1157066,2,1,-74.00643920898438,40.73947525024414,-73.96720123291014,40.769187927246094,1,0,1384
12,12,12,12,12,12,1040819,1,1,-73.96978759765625,40.75758361816406,-73.95157623291014,40.75944519042969,1,0,770
13,13,13,13,13,13,1019554,1,2,-73.9939727783203,40.740867614746094,-73.98855590820312,40.7647819519043,1,0,1071
14,14,14,14,14,14,1117788,2,6,-73.96495056152342,40.79132080078125,-73.96601867675781,40.79969024658203,1,0,220
15,15,15,15,15,15,399579,2,1,-73.95951080322266,40.76280975341797,-73.96839141845702,40.7705192565918,1,0,287
16,16,16,16,16,16,1386512,2,1,-73.96273803710938,40.77556610107422,-73.92799377441406,40.864761352539055,1,0,1073
17,17,17,17,17,17,433831,2,1,-73.99025726318358,40.73703384399414,-73.92808532714844,40.75789260864258,1,0,1318
18,18,18,18,18,18,276262,1,1,-73.9901351928711,40.74885177612305,-73.95653533935547,40.775665283203125,1,0,728
19,19,19,19,19,19,90702,2,3,-74.00531768798828,40.728660583496094,-73.99716186523438,40.72063064575195,1,0,468
20,20,20,20,20,20,1084575,2,1,-73.96956634521484,40.78876495361328,-73.95708465576173,40.77068328857422,1,0,588
21,21,21,21,21,21,739503,1,1,-73.93579864501953,40.70730972290039,-73.93305969238281,40.70948028564453,1,0,61
22,22,22,22,22,22,1113809,2,1,-73.97922515869139,40.75619888305664,-74.00221252441406,40.73374176025391,1,0,1598
23,23,23,23,23,23,408956,1,1,-73.99495697021484,40.74512100219727,-73.95465850830078,40.77878189086913,1,0,1512
24,24,24,24,24,24,882077,1,1,-73.99046325683594,40.751007080078125,-73.99276733398438,40.72535705566406,1,0,608
25,25,25,25,25,25,1408717,1,4,-74.0015869140625,40.72729110717773,-73.92892456054686,40.70818328857422,1,0,1120
26,26,26,26,26,26,1240185,2,1,-73.98215484619139,40.73116302490234,-73.9881134033203,40.720001220703125,1,0,267
27,27,27,27,27,27,1389570,2,1,-73.98643493652342,40.745697021484375,-73.97419738769531,40.7370719909668,1,0,446
28,28,28,28,28,28,1279240,1,2,-73.98509216308595,40.73716735839844,-73.9988784790039,40.84947967529297,1,0,1369
29,29,29,29,29,29,112587,2,3,-73.95364379882812,40.77526092529297,-73.97908782958984,40.76178359985352,1,0,597
30,30,30,30,30,30,797364,2,1,-73.97852325439453,40.789100646972656,-73.94638061523438,40.7769012451172,1,0,659
31,31,31,31,31,31,233835,2,1,-73.98226165771484,40.751590728759766,-73.98514556884764,40.73871994018555,1,0,383
32,32,32,32,32,32,1265117,2,1,-73.9896469116211,40.71908950805664,-73.9833984375,40.7357177734375,1,0,514
33,33,33,33,33,33,1449025,2,1,-73.97750091552734,40.76399612426758,-73.97734069824217,40.78457260131836,1,0,698
34,34,34,34,34,34,714120,1,1,-73.97222137451173,40.67683029174805,-74.02483367919923,40.63616180419922,1,0,1529
35,35,35,35,35,35,721953,1,2,-73.98626708984375,40.732769012451165,-73.9609832763672,40.760990142822266,1,0,603
36,36,36,36,36,36,327336,2,1,-73.98831176757811,40.72318649291992,-73.9426040649414,40.716156005859375,1,0,944
37,37,37,37,37,37,5095,2,1,-73.97611999511719,40.74908065795898,-74.0074462890625,40.7264518737793,1,0,847
38,38,38,38,38,38,851215,2,2,-73.9921875,40.734519958496094,-73.99117279052734,40.765491485595696,1,0,1311
39,39,39,39,39,39,695796,1,1,-73.87303924560547,40.77410507202149,-73.98899841308595,40.734817504882805,0,1,1012
40,40,40,40,40,40,83014,1,1,-73.98240661621094,40.73148727416992,-73.97903442382812,40.73601150512695,1,0,87
41,41,41,41,41,41,570715,1,4,-73.98776245117188,40.75037384033203,-74.00421905517578,40.7424201965332,1,0,685
42,42,42,42,42,42,1143930,2,2,-73.99320220947266,40.7628288269043,-73.98546600341797,40.76877212524414,1,0,244
43,43,43,43,43,43,1191698,1,1,-73.99431610107422,40.75994110107422,-73.9783706665039,40.78293991088867,1,0,392
44,44,44,44,44,44,1152662,2,3,-73.9932861328125,40.72226333618164,-73.98625946044923,40.7310905456543,1,0,415
