,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption
0,0,0,0,0,0,0,0,0,6.559,73.8,0.083,0.051,0.119,34055.6962
1,1,1,1,1,1,1,1,1,6.414,74.5,0.083,0.07,0.085,29814.68354
2,2,2,2,2,2,2,2,2,6.313,74.5,0.08,0.062,0.1,29128.10127
3,3,3,3,3,3,3,3,3,6.121,75.0,0.083,0.091,0.096,28228.86076
4,4,4,4,4,4,4,4,4,5.921,75.7,0.081,0.048,0.085,27335.6962
5,5,5,5,5,5,5,5,5,5.853,76.9,0.081,0.059,0.108,26624.81013
6,6,6,6,6,6,6,6,60,5.124,73.7,0.076,234.8,29.23,25275.94937
7,7,7,7,7,7,7,7,61,5.836,71.3,2.66,257.9,31.01,25920.0
8,8,8,8,8,8,8,8,62,5.996,69.85,4.93,282.7,31.96,26393.92405
9,9,9,9,9,9,9,9,63,6.22,68.81,4.924,307.0,32.42,26861.77215
10,10,10,10,10,10,10,10,64,6.703,68.01,4.923,327.6,33.22,27511.89873
11,11,11,11,11,11,11,11,65,6.993,66.14,4.918,349.6,33.41,28149.87342
12,12,12,12,12,12,12,12,66,7.54,64.21,4.916,371.1,33.43,28714.93671
13,13,13,13,13,13,13,13,67,8.22,61.9,4.916,388.2,33.89,29043.03797
14,14,14,14,14,14,14,14,68,9.49,59.3,2.451,401.3,34.4,29261.77215
15,15,15,15,15,15,15,15,69,10.65,56.03,0.084,419.5,35.29,29474.43038
16,16,16,16,16,16,16,16,70,11.06,53.52,0.082,430.9,37.58,29523.03797
17,17,17,17,17,17,17,17,71,12.4,53.26,0.08,437.5,43.46,29711.39241
18,18,18,18,18,18,18,18,72,13.08,54.36,0.077,450.4,43.2,29644.55696
19,19,19,19,19,19,19,19,73,14.38,54.42,0.076,470.5,37.92,29802.53165
20,20,20,20,20,20,20,20,74,15.02,56.46,0.074,480.0,38.81,29887.59494
21,21,21,21,21,21,21,21,75,15.55,58.7,0.075,486.1,39.46,30039.49367
22,22,22,22,22,22,22,22,76,15.56,59.23,0.076,490.2,40.92,29966.58228
23,23,23,23,23,23,23,23,77,15.49,59.3,0.076,495.9,40.9,29996.96203
24,24,24,24,24,24,24,24,78,15.57,58.06,0.077,498.1,40.94,30258.22785
25,25,25,25,25,25,25,25,79,15.65,58.7,0.077,498.1,42.75,30404.05063
26,26,26,26,26,26,26,26,80,15.73,59.33,0.076,498.8,44.65,30094.17722
27,27,27,27,27,27,27,27,81,15.68,58.6,0.079,497.0,44.26,30161.01266
28,28,28,28,28,28,28,28,82,15.7,55.29,0.074,489.2,39.32,30318.98734
29,29,29,29,29,29,29,29,83,15.75,52.45,0.077,482.4,38.65,30154.93671
30,30,30,30,30,30,30,30,84,15.83,54.99,0.079,476.1,39.49,29984.81013
31,31,31,31,31,31,31,31,85,15.79,56.66,0.076,467.7,39.94,30021.26582
32,32,32,32,32,32,32,32,86,15.72,55.86,0.077,456.1,39.95,30021.26582
33,33,33,33,33,33,33,33,87,15.8,54.06,0.075,449.2,41.52,29911.89873
34,34,34,34,34,34,34,34,88,15.74,55.56,0.075,437.4,44.13,29747.8481
35,35,35,35,35,35,35,35,89,15.72,56.69,0.077,422.0,43.87,29705.31646
36,36,36,36,36,36,36,36,90,15.64,57.26,0.077,409.0,44.9,29571.64557
37,37,37,37,37,37,37,37,91,15.69,57.96,0.074,391.8,46.89,29553.41772
38,38,38,38,38,38,38,38,92,15.69,58.93,0.075,369.4,51.51,29383.29114
39,39,39,39,39,39,39,39,93,15.6,58.7,0.073,321.0,57.14,29061.26582
40,40,40,40,40,40,40,40,94,15.39,57.6,0.075,180.3,60.31,28885.06329
41,41,41,41,41,41,41,41,95,15.34,58.7,0.075,149.5,67.85,28854.68354
42,42,42,42,42,42,42,42,96,15.33,59.23,0.077,209.1,128.9,28836.4557
43,43,43,43,43,43,43,43,97,15.48,57.46,0.074,265.1,219.1,28708.86076
44,44,44,44,44,44,44,44,98,15.54,58.3,0.076,241.3,246.0,28556.96203
45,45,45,45,45,45,45,45,99,15.53,58.8,0.077,219.0,248.1,28514.43038
46,46,46,46,46,46,46,46,100,15.48,57.73,0.075,195.7,231.6,28666.32911
