,Unnamed: 0,dataset,size,type,task,#columns,ave_rows_with_missing_values_ratio_per_window,max_rows_with_missing_values_ratio_per_window,total_rows_with_missing_values_ratio,overall missing value ratio,overall average null columns ratio,average null columns ratio among all windows,max average #null columns ratio among all windows,average missing value ratio among all windows,max missing value ration among all windows,IForest_ave_anomaly_ratio,IForest_max_anomaly_ratio,ECOD_ave_anomaly_ratio,ECOD_max_anomaly_ratio,mean_ave_anomaly_ratio,max_ave_anomaly_ratio,ECOD_overall_anomaly_ratio,IForest_overall_anomaly_ratio,ave_overall_anomaly_ratio,hdddm_drift_percentage,kdq_drift_percentage,ave_drift_percentage,hdddm_warning_percentage,kdq_warning_percentage,ave_warning_percentage,ks_ave_drift_percentage,ks_max_drift_percentage,hdddm_ave_drift_percentage,hdddm_max_drift_percentage,kdq_ave_drift_percentage,kdq_max_drift_percentage,cbdb_ave_drift_percentage,cbdb_max_drift_percentage,pca_ave_drift_percentage,pca_max_drift_percentage,ave_drift_percentage.1,max_drift_percentage,ks_ave_warning_percentage,ks_max_warning_percentage,hdddm_ave_warning_percentage,hdddm_max_warning_percentage,kdq_ave_warning_percentage,kdq_max_warning_percentage,cbdb_ave_warning_percentage,cbdb_max_warning_percentage,pca_ave_warning_percentage,pca_max_warning_percentage,ave_warning_percentage.1,max_warning_percentage,perm,adwin,ddm,eddm,concept_drift_ave,adwin_warning,ddm_warning,eddm_warning,ave_concept_drift_warning
0,1,dataset_experiment_info/allstate_claims_severity,188318,commerce,regression,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111489361702127,0.016,0.0117978723404255,0.0155,0.0114836956521739,0.01475,0.0117885703968818,0.0111407300417379,0.0114646502193098,0.0217391304347826,0.0217391304347826,0.0857262717297032,0,0,0.0003016705003959,0.001263245220408,0.6739130434782609,0.1697273652852671,0.4130434782608695,0.0001885440627474,0.0652173913043478,0.1717259323503903,0.4130434782608695,0.0,0.0,0.0857262717297032,0.6739130434782609,0.0012066820015837,0.1521739130434782,0,0,0,0,0,0,0,0,0.0003016705003959,0.1521739130434782,1.0,0.0,0.0099990234269035,0.0,0.00333300780896783,0,0.0,0.0,0.0
1,2,dataset_experiment_info/bike_sharing_demand,10886,commerce,regression,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114814814814814,0.0277777777777777,0.0107407407407407,0.0527777777777777,0.0106150793650793,0.0402777777777777,0.010655888296895,0.0113907771449568,0.0110233327209259,0.2857142857142857,0.0714285714285714,0.3948412698412698,0,0,0.0,0.6825396825396826,1.0,0.4603174603174603,0.7857142857142857,0.0476190476190476,0.4285714285714285,0.3888888888888889,0.7142857142857143,0.0,0.0,0.3948412698412698,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.000491835530198701,0.000393468424158961,0.0,0.00029510131811922,0,0.136828644501278,0.937241786346645,0.358023476949308
2,3,dataset_experiment_info/rssi,9984,others,classification,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196392785571142,0.0741482965931863,0.0140280561122244,0.0661322645290581,0.0174559645607003,0.0701402805611222,0.0140224358974358,0.0196314102564102,0.016826923076923,0.1052631578947368,0.0,0.2631578947368421,0,0,0.0131578947368421,0.631578947368421,0.8421052631578947,0.1842105263157894,0.2631578947368421,0.0,0.0,0.2368421052631578,0.2631578947368421,0.0,0.0,0.2631578947368421,0.8421052631578947,0.0526315789473684,0.0526315789473684,0,0,0,0,0,0,0,0,0.0131578947368421,0.0526315789473684,0.263157894736842,0.00105429625724828,0.0,0.0,0.000351432085749428,0,0.012862414338429,0.972904586188719,0.328589000175716
3,4,dataset_experiment_info/noaa,18159,ecology,classification,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173888888888888,0.0472222222222222,0.0153888888888888,0.0361111111111111,0.0163265306122448,0.0388888888888888,0.0153642821741285,0.0172366319731262,0.0163004570736274,0.0408163265306122,0.2653061224489796,0.267219387755102,0,0,0.0216836734693877,0.5229591836734694,0.9387755102040816,0.2372448979591836,0.4693877551020408,0.0918367346938775,0.2448979591836734,0.2168367346938775,0.3877551020408163,0.0,0.0,0.267219387755102,0.9387755102040816,0.086734693877551,0.2244897959183673,0,0,0,0,0,0,0,0,0.0216836734693877,0.2244897959183673,0.462555066079295,0.00411527659054829,0.00131884234949322,0.00153864940774209,0.00232425611592787,0,0.127976553913786,0.579496886066674,0.235824479993487
4,5,dataset_experiment_info/KDDCUP99,494021,Science&technology,classification,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048339102447318,0.0160320641282565,0.0,0.0,0.0024173726624127,0.0080160320641282,0.0,0.0048338026116298,0.0024169013058149,0.1324570273003033,0.0,0.0509644551606129,0,0,0.0001015443381469,0.0001814834979647,0.006066734074823,0.1003430902318667,0.249747219413549,3.456828532662709e-05,0.0040444893832153,0.1032986786272933,0.243680485338726,0.0,0.0,0.0509644551606129,0.1032986786272933,0.0004061773525878,0.0121334681496461,0,0,0,0,0,0,0,0,0.0001015443381469,0.0121334681496461,0.0677451971688574,9.92863540024558e-05,0.000216808977107403,4.05250424499819e-06,0.000106715945118285,0,0.152131009357232,0.871209388841834,0.341113466066355
5,6,dataset_experiment_info/electricity_prices,45312,commerce,classification,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118159203980099,0.1235119047619047,0.0144589552238805,0.0744047619047619,0.0133364898989898,0.0907738095238095,0.0143891242937853,0.0118953036723163,0.0131422139830508,0.1818181818181818,0.9393939393939394,0.3848484848484848,0,0,0.0015151515151515,0.7606060606060606,1.0,0.306060606060606,0.4393939393939394,0.1939393939393939,0.7575757575757576,0.2787878787878788,0.3939393939393939,0.0,0.0,0.3848484848484848,1.0,0.006060606060606,0.0151515151515151,0,0,0,0,0,0,0,0,0.0015151515151515,0.0151515151515151,0.818181818181818,0.00320340501792114,0.000604838709677419,0.00499551971326164,0.00293458781362007,0,0.168705197132616,0.154413082437275,0.107706093189964
6,7,dataset_experiment_info/tetouan,52416,power consumption,regression,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040509259259259,0.0236111111111111,0.0122299382716049,0.061574074074074,0.0084641706924315,0.0361111111111111,0.0120955433455433,0.0040064102564102,0.0080509768009768,0.3478260869565217,1.0,0.7,0,0,0.0021739130434782,0.982608695652174,1.0,0.5391304347826087,0.6956521739130435,0.7304347826086957,1.0,0.5478260869565218,0.782608695652174,0.0,0.0,0.7,1.0,0.008695652173913,0.0434782608695652,0,0,0,0,0,0,0,0,0.0021739130434782,0.0434782608695652,0.260869565217391,0.0,0.0099888570518943,0.0,0.0033296190172981,0,0.0,0.0,0.0
7,9,dataset_experiment_info/beijing_multisite/wanliu,35064,ecology,regression,18,0.1275462962962963,0.8513888888888889,0.1263404061145334,0.0102146551068522,0.0102146551068522,0.0102205504115226,0.060108024691358,0.0102205504115226,0.060108024691358,0.0113136574074074,0.0777777777777777,0.0,0.0,0.0055851063829787,0.0388888888888888,0.0,0.0111510381017567,0.0055755190508783,0.2553191489361702,1.0,0.2813238770685579,0,0,0.0059101654846335,0.4011032308904649,1.0,0.3010244286840031,0.5319148936170213,0.1229314420803782,0.9787234042553192,0.3002364066193853,0.574468085106383,0.0,0.0,0.2813238770685579,1.0,0.0236406619385342,0.1702127659574468,0,0,0,0,0,0,0,0,0.0059101654846335,0.1702127659574468,0.340425531914893,0.0,0.00998718844630794,0.0,0.00332906281543598,0,0.0,0.0,0.0
8,10,dataset_experiment_info/beijing_multisite/wanshouxingong,35064,ecology,regression,18,0.0653067129629629,0.4166666666666667,0.0654802646589094,0.0081533449945496,0.0081533449945496,0.0079877186213991,0.0397376543209876,0.0079877186213991,0.0397376543209876,0.016724537037037,0.1125,0.0,0.0,0.0082446808510638,0.05625,0.0,0.0164841432808578,0.0082420716404289,0.1702127659574468,1.0,0.2807328605200945,0,0,0.003940110323089,0.3687943262411347,1.0,0.3207249802994484,0.6170212765957447,0.1158392434988179,0.9361702127659576,0.3175728920409771,0.5957446808510638,0.0,0.0,0.2807328605200945,1.0,0.0157604412923561,0.1063829787234042,0,0,0,0,0,0,0,0,0.003940110323089,0.1063829787234042,0.297872340425531,0.0,0.00998718844630794,0.0,0.00332906281543598,0,0.0,0.0,0.0
9,11,dataset_experiment_info/beijing_multisite/gucheng,35064,ecology,regression,18,0.072974537037037,0.5458333333333333,0.0730093543235227,0.0074910639592364,0.0074910639592364,0.0073832947530864,0.033179012345679,0.0073832947530864,0.033179012345679,0.0147280092592592,0.1236111111111111,0.0,0.0,0.0072990543735224,0.0618055555555555,0.0,0.0145163130276066,0.0072581565138033,0.3404255319148936,1.0,0.2665484633569739,0,0,0.0055161544523246,0.3711583924349881,1.0,0.2907801418439716,0.5957446808510638,0.1276595744680851,1.0,0.2765957446808511,0.5531914893617021,0.0,0.0,0.2665484633569739,1.0,0.0220646178092986,0.1914893617021276,0,0,0,0,0,0,0,0,0.0055161544523246,0.1914893617021276,0.297872340425531,0.0,0.00998718844630794,0.0,0.00332906281543598,0,0.0,0.0,0.0
